gFam;geneID
gfam_6950;GLRG_01722T0
gfam_6955;GLRG_01735T0
gfam_6955;Cob_00053
gfam_6955;CGGC5_9870
gfam_6971;CT04_02234
gfam_6971;CBS127_05821
gfam_6971;CBS130_02220
gfam_6971;CBS168_02560
gfam_6971;CBS495_11122
gfam_6971;CS_03500
gfam_6971;GLRG_01793T0
gfam_6971;CH063_05431T0
gfam_6971;Cob_02926
gfam_6971;CGGC5_13476
gfam_7142;CT04_11975
gfam_7142;CBS127_09452
gfam_7142;CBS130_10236
gfam_7142;CBS168_06711
gfam_7142;CBS495_10950
gfam_7142;CS_07695
gfam_7142;GLRG_02673T0
gfam_7142;CH063_00125T0
gfam_7142;CGGC5_13478
gfam_7156;CT04_06689
gfam_7156;CBS127_09045
gfam_7156;CBS130_07899
gfam_7156;CBS168_05772
gfam_7156;CBS495_09044
gfam_7156;CS_11199
gfam_7156;GLRG_02757T0
gfam_7156;Cob_10510
gfam_7156;CGGC5_2086
gfam_7423;GLRG_04332T0
gfam_7423;Cob_09487
gfam_7423;CGGC5_6953
gfam_7533;CH063_04692T0
gfam_7598;GLRG_05522T0
gfam_7598;Cob_08432
gfam_7598;CGGC5_7657
gfam_7732;CH063_02735T0
gfam_7786;CT04_11708
gfam_7786;CBS127_12055
gfam_7786;CBS130_04812
gfam_7786;CBS168_12757
gfam_7786;CBS495_06421
gfam_7786;CS_13069
gfam_7786;GLRG_06513T0
gfam_7786;CH063_09357T0
gfam_7786;CGGC5_10480
gfam_7791;GLRG_06527T0
gfam_7791;CGGC5_11875
gfam_7864;CH063_12876T0
gfam_7900;GLRG_07158T0
gfam_7970;Cob_06193
gfam_8233;CGGC5_2446
gfam_8237;CT04_06083
gfam_8237;CBS127_01078
gfam_8237;CBS130_04949
gfam_8237;CBS168_05345
gfam_8237;CBS495_06337
gfam_8237;GLRG_08991T0
gfam_8237;Cob_03665
gfam_8237;CGGC5_1457
gfam_8262;CT04_02731
gfam_8262;CBS127_00078
gfam_8262;CBS130_02001
gfam_8262;CBS168_10925
gfam_8262;CBS495_04594
gfam_8262;CS_09290
gfam_8262;GLRG_09086T0
gfam_8262;Cob_02413
gfam_8315;GLRG_09420T0
gfam_8315;CGGC5_1549
gfam_8337;CGGC5_9044
gfam_8411;CT04_04305
gfam_8411;CBS127_05406
gfam_8411;CBS130_06578
gfam_8411;CBS168_06424
gfam_8411;CBS495_04025
gfam_8411;CS_10638
gfam_8411;GLRG_09822T0
gfam_8411;CH063_14294T0
gfam_8411;CGGC5_11650
gfam_8485;CT04_04293
gfam_8485;CBS127_05383
gfam_8485;CBS130_06556
gfam_8485;CBS168_02750
gfam_8485;CBS495_04048
gfam_8485;CS_10416
gfam_8485;CH063_01499T0
gfam_8485;Cob_10848
gfam_8495;CT04_09599
gfam_8495;CBS127_02382
gfam_8495;CBS130_11096
gfam_8495;CBS168_07627
gfam_8495;CBS495_10321
gfam_8495;CS_05141
gfam_8495;CS_10300
gfam_8495;Cob_03825
gfam_8495;CGGC5_462
gfam_8513;CT04_03375
gfam_8513;CBS127_05061
gfam_8513;CBS130_07483
gfam_8513;CBS168_06753
gfam_8513;CBS495_07726
gfam_8513;CH063_13805T0
gfam_8542;CT04_04502
gfam_8542;CBS127_03630
gfam_8542;CBS130_08055
gfam_8542;CBS168_01511
gfam_8542;CBS495_10723
gfam_8542;CH063_12725T0
gfam_8542;CH063_14615T0
gfam_8542;CGGC5_3158
gfam_8543;CT04_07149
gfam_8543;CBS127_00332
gfam_8543;CBS130_12668
gfam_8543;CBS168_09293
gfam_8543;CBS495_12557
gfam_8543;CS_06388
gfam_8543;GLRG_00416T0
gfam_8543;CH063_06290T0
gfam_8543;CH063_08243T0
gfam_8728;CT04_10528
gfam_8728;CBS127_08523
gfam_8728;CBS130_09174
gfam_8728;CBS168_02629
gfam_8728;CBS495_08474
gfam_8728;CS_04462
gfam_8728;GLRG_01852T0
gfam_8728;CH063_02954T0
gfam_8736;CBS168_10369
gfam_8736;GLRG_00192T0
gfam_8739;CT04_08933
gfam_8739;CBS127_12122
gfam_8739;CBS130_07508
gfam_8739;CBS168_02698
gfam_8739;CBS495_11267
gfam_8739;CS_00746
gfam_8739;CH063_00329T0
gfam_8739;CGGC5_2746
gfam_8750;GLRG_02111T0
gfam_8756;CBS127_11630
gfam_8756;CS_12311
gfam_8756;CH063_08139T0
gfam_8756;Cob_12819
gfam_8833;CS_12121
gfam_8833;CGGC5_6783
gfam_8875;GLRG_04505T0
gfam_8877;CT04_12530
gfam_8877;CBS127_02486
gfam_8877;CBS130_04371
gfam_8877;CBS168_08383
gfam_8877;CBS495_07485
gfam_8877;CS_03035
gfam_8877;GLRG_04558T0
gfam_8877;CH063_09458T0
gfam_8877;Cob_12256
gfam_8892;CT04_11272
gfam_8892;CBS127_10587
gfam_8892;CBS130_11408
gfam_8892;CBS168_09882
gfam_8892;CBS495_05851
gfam_8892;CS_11035
gfam_8892;GLRG_04799T0
gfam_8892;CH063_12578T0
gfam_8892;Cob_12957
gfam_8895;CT04_01252
gfam_8895;CBS127_09905
gfam_8895;CBS130_03424
gfam_8895;CBS168_01423
gfam_8895;CBS495_03479
gfam_8895;CS_05126
gfam_8895;GLRG_04831T0
gfam_8895;CH063_05525T0
gfam_8895;Cob_09019
gfam_8985;CH063_06824T0
gfam_8985;CGGC5_4808
gfam_9015;CT04_04946
gfam_9015;CBS127_02623
gfam_9015;CBS130_04760
gfam_9015;CBS168_00555
gfam_9015;CBS495_06471
gfam_9015;GLRG_06559T0
gfam_9015;CH063_13941T0
gfam_9015;Cob_00624
gfam_9015;CGGC5_3258
gfam_9034;CS_02808
gfam_9034;GLRG_06820T0
gfam_9034;Cob_11295
gfam_9034;CGGC5_8804
gfam_9035;Cob_11301
gfam_9043;CBS127_03100
gfam_9043;CS_09357
